Kenya_EarlyPastoralN:I12533,-0.246996,0.097491,-0.039975,-0.08721,-0.003077,-0.040439,-0.00423,-0.018461,0.116374,-0.076539,-0.000812,-0.011839,0.002973,-0.008533,0.02158,-0.012066,0.020731,0.004434,0.006034,-0.000875,-0.00549,0.008532,-0.003944,0,0.006945
Kenya_EarlyPastoralN:I12534,-0.217402,0.102568,-0.035826,-0.078812,0.003693,-0.043507,-0.00376,-0.006231,0.125782,-0.069796,-0.000974,-0.009741,0.017393,0.006055,0.02728,-0.016441,0.022035,0.007981,-0.009176,0.008629,-0.002496,0.004081,0.012202,0.000482,0.005029
Kenya_HyraxHill_PastoralN:HYR002,-0.289111,0.096475,-0.023004,-0.066538,-0.002462,-0.03765,-0.009165,0.006923,0.125782,-0.086015,-0.011205,-0.002548,-0.007284,-0.004266,0.026058,-0.024396,0.007823,-0.004434,0.001885,0.000375,0.004742,-0.006677,-0.003821,0.004097,-0.008981
Kenya_IA_Pastoral_o:I8802,-0.537245,0.067025,0.011691,-0.011628,0.004308,-0.001673,-0.012691,0.01823,0.020043,-0.034625,-0.008282,0.006744,-0.031367,-0.008533,-0.023615,0.016839,-0.007432,0.006841,-0.011941,0.007879,0.002496,0.00272,0.008504,-0.001205,0.00491
Kenya_IA_Pastoral:I12381,-0.401796,0.081242,-0.014331,-0.043282,0.006155,-0.027052,-0.015746,0.005077,0.104512,-0.083282,-0.014453,-0.00015,-0.01219,-0.001239,0.027687,-0.024396,0.021253,-0.003547,0.013073,-0.015257,0.001747,0.005812,-0.007025,-0.006748,0.004431
Kenya_LukenyaHill_PastoralN:LUK001,-0.308461,0.093429,-0.025267,-0.081719,0.004001,-0.038487,-0.003995,-0.012461,0.123123,-0.086562,-0.005846,-0.008992,-0.008176,0.003303,0.027823,-0.030628,0.012256,0.0019,0.003017,-0.008379,-0.008735,-0.002844,-0.000739,0.00241,0.00491
Kenya_MoloCave_PastoralN:MOL001,-0.352852,0.082258,-0.023004,-0.053618,0.00677,-0.034582,0.012691,-0.014307,0.108807,-0.0831,-0.014777,-0.006145,-0.013677,-0.000275,0.023072,-0.028507,0.02373,0.010008,-0.006034,-0.008379,0.000624,-0.003339,0.001972,-0.009278,-0.002634
Kenya_PastoralN_Elmenteitan_o:I8923,-0.265208,0.083273,-0.037712,-0.07106,0.000923,-0.046017,-0.013631,-0.001615,0.120874,-0.082371,0.003248,-0.006894,0.000446,-0.000826,0.019137,-0.016574,0.014864,0.005321,0.008296,0.001626,0.005865,0.006677,-0.009983,-0.00012,0.017483
Kenya_PastoralN_Elmenteitan:I10719,-0.297078,0.093429,-0.029793,-0.073967,0.001539,-0.034582,-0.010575,0.004846,0.128236,-0.0831,-0.004547,-0.007343,-0.008325,-0.002615,0.021987,-0.023071,0.01017,0.002407,0.007919,-0.008379,0.001996,-0.000124,-0.006779,-0.006386,-0.002634
Kenya_PastoralN_Elmenteitan:I12394,-0.280005,0.094444,-0.021873,-0.067184,0.004924,-0.03012,-0.0047,-0.002769,0.122101,-0.074717,-0.005684,-0.002997,-0.007284,0.005505,0.016286,-0.014187,0.019166,0.008488,0.007919,0.004252,0.010856,0.001731,-0.006409,-0.005543,-0.003712
Kenya_PastoralN_Elmenteitan:I12398,-0.275452,0.09546,-0.025644,-0.081719,0.000308,-0.040997,-0.011045,-0.006923,0.121283,-0.083282,-0.001137,-0.014837,-0.000892,0.001514,0.020765,-0.024529,0.021513,-0.00228,0.011941,0.001626,0.004243,0.007543,-0.009983,-0.009037,0.006826
Kenya_PastoralN_Elmenteitan:I8805,-0.301631,0.092413,-0.026398,-0.072352,-0.003693,-0.039602,-0.013396,-0.004846,0.122919,-0.088931,-0.013478,-0.003147,0.003419,-0.002615,0.027823,-0.01896,0.017863,0.006208,0.010559,-0.004877,-0.00025,0.002102,-0.003081,0.004579,-0.003233
Kenya_PastoralN_Elmenteitan:I8922,-0.301631,0.092413,-0.023381,-0.073321,0.006463,-0.038208,-0.014101,-0.005077,0.121692,-0.082553,-0.012666,-0.005695,-0.00773,-0.004404,0.019408,-0.019225,0.029467,0.005448,0.002891,-0.003502,0.001996,0.001113,-0.007395,-0.003494,0.003712
Kenya_PastoralN:I12384,-0.307322,0.099522,-0.026398,-0.072029,-0.008617,-0.037929,-0.011045,0.000923,0.117192,-0.091483,-0.012991,-0.004346,-0.010852,0.000963,0.020222,-0.02612,0.021774,0.002787,0.007416,-0.002251,0.003369,0.005688,-0.003204,0.000241,0.00479
Kenya_PastoralN:I8758,-0.297078,0.098506,-0.039221,-0.076874,0.004001,-0.031794,-0.00893,-0.008307,0.112488,-0.103692,-0.005521,-0.009741,0.000446,-0.014038,0.032301,-0.025325,0.0339,-0.011909,0.013701,-0.001376,-0.003244,-0.001731,-0.008874,0.001446,-0.004431
