,distance%,Natufian,Iran-Chalcolithic,Iberomaurusian,Dinka,Yoruba
Naqab-Bedouin-A,0.0425,44.2,50.8,0.8,0,4.2
Naqab-Bedouin-B,0.051,68.2,31.8,0,0,0
Saudi-Average,0.0496,62.4,36.8,0,0.8,0
Samaritan,0.0636,41.2,58.8,0,0,0
Egyptian-Outlier,0.0478,43.8,37.2,2.2,7.4,9.4
Egyptian-Average,0.0484,46.9,41.6,2.3,1.3,7.9
Egyptian-Copt,0.0525,56.6,39.2,0.2,4,0
Iron-Age-Egyptian,0.0598,63,37,0,0,0
Yemeni-Average,0.0453,62.9,35.5,0,1.2,0.4
Early-Bronze-Age-Jordan,0.0572,57,43,0,0,0
